"","id.join","vr.pagos","NA","CREDITO"
"1","0 0 0",0,0,"NULL"
"2","1001020635 2 39079",2,5e+05,"NULL"
"3","1001020635 6 39086",6,1013174,"NULL"
"4","10055726 2 636",8,3e+06,"NULL"
"5","10055726 2 824",4,3e+06,"NULL"
"6","10055726 6 729",6,1435000,"NULL"
"7","10071818 2 11929",2,280000,"NULL"
"8","10071818 2 14607",2,280000,"NULL"
"9","10071818 2 16549",4,280000,"NULL"
"10","10071818 2 9317",2,1e+05,"NULL"
"11","10071818 6 14013",6,289800,"NULL"
"12","10071818 6 16550",6,289800,"NULL"
"13","10071818 6 9459",6,85400,"NULL"
"14","10077526 2 30001276",4,2570000,"NULL"
"15","10077526 2 325",6,2570000,"NULL"
"16","10077526 2 505",2,1800000,"NULL"
"17","10081827 13 28330",91,1231100,"NULL"
"18","10081827 2 1112",4,6e+05,"NULL"
"19","10081827 2 11791",6,1100000,"NULL"
"20","10081827 2 13948",8,1500000,"NULL"
"21","10081827 2 16538",2,1180000,"NULL"
"22","10081827 2 1766",2,6e+05,"NULL"
"23","10081827 2 17667",6,1180000,"NULL"
"24","10081827 2 19400",2,970000,"NULL"
"25","10081827 2 20114",2,3e+06,"NULL"
"26","10081827 2 23003",14,3e+06,"NULL"
"27","10081827 2 24096",4,3e+06,"NULL"
"28","10081827 2 2533",6,6e+05,"NULL"
"29","10081827 2 27132",2,3e+06,"NULL"
"30","10081827 2 28808",6,5e+06,"NULL"
"31","10081827 2 32245",12,5e+06,"NULL"
"32","10081827 2 338",8,7e+05,"NULL"
"33","10081827 2 36252",10,2e+06,"NULL"
"34","10081827 2 38168",10,4e+06,"NULL"
"35","10081827 2 39961",16,4293853,"NULL"
"36","10081827 2 4465",10,6e+05,"NULL"
"37","10081827 2 8705",4,6e+05,"NULL"
"38","10081827 6 1003",18,456000,"NULL"
"39","10081827 6 102259",24,640200,"NULL"
"40","10081827 6 13953",30,1291500,"NULL"
"41","10081827 6 1440",12,270000,"NULL"
"42","10081827 6 1447",24,456000,"NULL"
"43","10081827 6 145",12,320700,"NULL"
"44","10081827 6 16074",6,1860000,"NULL"
"45","10081827 6 18230",36,1860000,"NULL"
"46","10081827 6 21275",18,1797600,"NULL"
"47","10081827 6 23976",18,2780500,"NULL"
"48","10081827 6 27131",6,1280500,"NULL"
"49","10081827 6 30915",6,1280500,"NULL"
"50","10081827 6 32086",12,2421418,"NULL"
"51","10081827 6 36049",30,2415900,"NULL"
"52","10081827 6 4966",48,684000,"NULL"
"53","10081827 6 8562",18,991600,"NULL"
"54","10081827 6 870",6,456000,"NULL"
