Row Labels;Sum of CREDITO;;;
0 0 0;0;;0;0
1001020635 2 39079;500000;;500000;0
1001020635 6 39086;1013174;;1013174;0
10055726 2 636;3000000;;3000000;0
10055726 2 824;3000000;;3000000;0
10055726 6 729;1435000;;1435000;0
10071818 2 11929;280000;;280000;0
10071818 2 14607;280000;;280000;0
10071818 2 16549;280000;;280000;0
10071818 2 9317;100000;;100000;0
10071818 6 14013;289800;;289800;0
10071818 6 16550;289800;;289800;0
10071818 6 9459;85400;;85400;0
10077526 2 30001276;2570000;;2570000;0
10077526 2 325;2570000;;2570000;0
10077526 2 505;1800000;;1800000;0
10081827 13 28330;1231100;;1231100;0
10081827 2 1112;600000;;600000;0
10081827 2 11791;1100000;;1100000;0
10081827 2 13948;1500000;;1500000;0
10081827 2 16538;1180000;;1180000;0
10081827 2 1766;600000;;600000;0
10081827 2 17667;1180000;;1180000;0
10081827 2 19400;970000;;970000;0
10081827 2 20114;3000000;;3000000;0
10081827 2 23003;3000000;;3000000;0
10081827 2 24096;3000000;;3000000;0
10081827 2 2533;600000;;600000;0
10081827 2 27132;3000000;;3000000;0
10081827 2 28808;5000000;;5000000;0
10081827 2 32245;5000000;;5000000;0
10081827 2 338;700000;;700000;0
10081827 2 36252;2000000;;2000000;0
10081827 2 38168;4000000;;4000000;0
10081827 2 39961;4293853;;4293853;0
10081827 2 4465;600000;;600000;0
10081827 2 8705;600000;;600000;0
10081827 6 1003;456000;;456000;0
10081827 6 102259;640200;;640200;0
10081827 6 13953;1291500;;1291500;0
10081827 6 1440;270000;;270000;0
10081827 6 1447;456000;;456000;0
10081827 6 145;320700;;320700;0
10081827 6 16074;1860000;;1860000;0
10081827 6 18230;1860000;;1860000;0
10081827 6 21275;1797600;;1797600;0
10081827 6 23976;2780500;;2780500;0
10081827 6 27131;1280500;;1280500;0
10081827 6 30915;1280500;;1280500;0
10081827 6 32086;2421418;;2421418;0
10081827 6 36049;2415900;;2415900;0
10081827 6 4966;684000;;684000;0
10081827 6 8562;991600;;991600;0
10081827 6 870;456000;;456000;0
10087188 2 383;1500000;;1500000;0
10087188 2 418;1500000;;1500000;0
10087188 6 378;1104000;;1104000;0
10087188 6 54;1104000;;1104000;0
101005 2 404;1000000;;1000000;0
101005 2 792;1000000;;1000000;0
101005 6 405;1328000;;1328000;0
101005 6 761;1134500;;1134500;0
101089 2 215;600000;;600000;0
